id,EAP,HPL,MWS
id02310,0.034981817,0.008431246,0.9565869
id24541,0.99916995,0.00039749063,0.0004325477
id00134,0.016979555,0.98103917,0.0019812093
id27757,0.81756145,0.1769003,0.005538237
id04081,0.9430189,0.031236852,0.025744261
id27337,0.89659065,0.08840601,0.015003301
id24265,0.7163386,0.2709946,0.012666794
id25917,0.015727581,0.18547435,0.798798
id04951,0.98741674,0.010796301,0.001786916
id14549,0.78982735,0.048941698,0.1612309
id22505,0.01928016,0.007999002,0.9727208
id24002,0.002154679,0.99749243,0.0003528931
id18982,0.11306771,0.76332587,0.12360643
id15181,0.0013377012,0.99847,0.00019224347
id21888,0.61804193,0.13835625,0.24360186
id12035,0.002011561,0.0001253745,0.9978631
id17991,0.33462414,0.0063370676,0.6590388
id10707,0.99925905,0.00054272043,0.00019817884
id07101,0.287958,0.0095668,0.7024752
id00345,0.05580316,0.92035896,0.023837896
id05912,0.965014,0.028037064,0.006948975
id13443,0.9724974,0.013430181,0.014072387
id09248,0.2780701,0.06916777,0.6527621
id17542,0.10522742,0.873449,0.021323498
id06995,0.11958202,0.00081664283,0.87960136
id25159,0.71129966,0.08722983,0.20147054
id25729,0.3607264,0.63027906,0.008994556
id26949,0.9820041,0.011159796,0.0068361484
id27191,0.23912655,0.020319752,0.7405537
id07668,0.4005869,0.0015265993,0.5978865
id02230,0.027564716,0.49254462,0.47989064
id15553,0.9966929,0.00086915644,0.0024379606
id25688,0.00740349,0.9900052,0.0025912619
id17545,0.99064106,0.0067404425,0.0026185166
id13929,0.43698096,0.38837156,0.17464751
id12880,0.04247439,0.95108545,0.0064402036
id19282,0.46385977,0.12506038,0.41107985
id14690,0.014433756,0.0020718833,0.98349434
id17975,0.00486869,0.9941651,0.0009661593
id08037,0.91042674,0.015964778,0.0736085
id15412,0.05867373,0.0074378713,0.93388844
id25032,0.67194724,0.054548305,0.27350447
id27165,0.9990639,0.0004967457,0.0004394175
id03327,0.74677956,0.18324634,0.06997411
id18515,0.9905772,0.004654907,0.004767911
id21003,0.066683345,0.03455668,0.89876
id23855,0.0021168408,0.9737161,0.02416707
id20724,0.5129213,0.2673378,0.2197409
id13303,0.8702101,0.028544951,0.10124492
id16521,0.002652696,0.7324535,0.2648938
id20775,0.99904805,0.00035288205,0.00059900305
id13029,0.9973793,0.0018983484,0.00072231994
id14660,0.5208465,0.4448182,0.034335315
id11028,0.0020311181,0.0001834601,0.99778545
id14180,0.99281454,0.005291227,0.0018942081
id25860,0.9976878,0.00036124844,0.0019509863
id11910,0.12923957,0.0019556005,0.8688049
id08065,0.09267374,0.00810221,0.8992241
id22674,0.008775772,0.000818428,0.99040574
id25018,0.37536684,0.025196774,0.5994364
id10892,0.00038040368,0.999276,0.00034363364
id10217,0.17508061,0.82179964,0.003119683
id12996,0.18829472,0.19350785,0.6181974
id18262,0.4611824,0.4748322,0.063985445
id08606,0.0009946864,0.99819726,0.0008080957
id17233,0.8960894,0.012729756,0.09118088
id00101,0.6214889,0.3257276,0.05278346
id12225,0.9133484,0.048187487,0.038464148
id01364,0.0026174455,0.9940124,0.0033700764
id24973,0.43580985,0.03316849,0.53102165
id25363,0.34114343,0.00059422693,0.6582623
id10061,0.48457915,0.0070734317,0.50834745
id17673,0.046138488,0.90649426,0.047367256
id13249,0.46184403,0.047243323,0.49091262
id10107,0.0044543915,0.0021410563,0.99340457
id04403,0.9902654,0.0015983483,0.008136202
id25728,0.8742753,0.02455252,0.1011721
id16184,0.70583296,0.03915989,0.25500718
id03438,0.0038191376,0.00043636287,0.9957445
id22923,0.0026998483,0.9969121,0.0003880421
id08610,0.9973333,0.00047321166,0.0021934698
id25355,0.11204569,0.009337735,0.8786165
id16916,0.48602754,0.4713412,0.042631295
id12793,0.0056095477,0.9931566,0.0012338134
id11859,0.5585677,0.0063272645,0.43510503
id02434,0.9932193,0.0058701565,0.00091054477
id27703,0.0024944108,0.00044226463,0.99706334
id25212,0.0035483197,0.9952838,0.0011678496
id11308,0.07938359,0.14843057,0.7721858
id26094,0.9409572,0.04359365,0.015449123
id22080,0.9226331,0.07480811,0.002558746
id03545,0.99605054,0.0036568814,0.00029255092
id23725,0.003056453,0.0064524747,0.99049115
id12009,0.78399754,0.15816008,0.057842404
id24241,0.30636632,0.04417662,0.6494571
id03596,0.007239943,0.9903713,0.0023887735
id10749,0.031635977,0.9618107,0.0065533076
id22794,0.004150838,0.0024499896,0.99339914
id15482,0.05322602,0.88459694,0.06217704
id04833,0.9141854,0.07511156,0.010703046
id00397,0.009310661,0.00051362603,0.99017566
id14691,0.0044620694,0.0016189299,0.993919
id05193,0.45096657,0.013912248,0.53512114
id19541,0.9800511,0.0013993796,0.018549591
id22166,0.005075242,0.00085575675,0.994069
id20744,0.0065744594,0.00091233384,0.9925132
id10392,0.0042940676,0.00011292159,0.995593
id00770,0.96886665,0.017714486,0.013418887
id06018,0.6915246,0.26598555,0.04248986
id15678,0.19918582,0.0018599267,0.79895425
id08305,0.8940082,0.09008161,0.015910175
id08903,0.42926902,0.06997857,0.5007524
id14752,0.0713058,0.9237557,0.004938527
id12468,0.0009293109,0.99867815,0.00039247674
id05085,0.27934578,0.6768835,0.043770704
id21993,0.4148126,0.001995545,0.5831919
id15503,0.90645164,0.07271392,0.020834444
id03021,0.00040240338,0.99935085,0.00024673808
id16123,0.9928518,0.0066563087,0.0004919082
id19383,0.9964347,0.002030087,0.0015352336
id04186,0.9991905,0.0004977849,0.00031175592
id17954,0.0021755586,0.0003270599,0.9974974
id12030,0.45380512,0.012815124,0.5333798
id13020,0.6400885,0.35412297,0.0057885214
id25327,0.015026124,0.9192793,0.06569457
id16344,0.29094258,0.020534407,0.68852305
id12303,0.10084044,0.7951445,0.10401507
id15017,0.9910322,0.008527879,0.000439901
